,Word,Count,Category
0,space,2382,Astronauts
1,mission,845,Astronauts
2,flight,744,Astronauts
3,nasa,739,Astronauts
4,astronaut,720,Astronauts
5,soyuz,557,Astronauts
6,station,542,Astronauts
7,cosmonaut,497,Astronauts
8,crew,494,Astronauts
9,russian,467,Astronauts
10,air,455,Astronauts
11,training,450,Astronauts
12,university,443,Astronauts
13,pilot,404,Astronauts
14,born,364,Astronauts
15,school,358,Astronauts
16,shuttle,358,Astronauts
17,soviet,345,Astronauts
18,science,338,Astronauts
19,force,327,Astronauts
20,international,318,Astronauts
21,iss,312,Astronauts
22,hours,306,Astronauts
23,expedition,294,Astronauts
24,research,293,Astronauts
25,served,289,Astronauts
26,time,287,Astronauts
27,earth,285,Astronauts
28,aboard,284,Astronauts
29,career,276,Astronauts
30,center,268,Astronauts
31,medal,265,Astronauts
32,selected,265,Astronauts
33,april,255,Astronauts
34,october,250,Astronauts
35,test,249,Astronauts
36,life,247,Astronauts
37,order,245,Astronauts
38,program,244,Astronauts
39,september,242,Astronauts
40,american,240,Astronauts
41,days,238,Astronauts
42,astronauts,228,Astronauts
43,commander,226,Astronauts
44,degree,226,Astronauts
45,member,226,Astronauts
46,mir,226,Astronauts
47,gagarin,223,Astronauts
48,engineer,222,Astronauts
49,later,220,Astronauts
50,university,395,Writers
51,published,283,Writers
52,book,219,Writers
53,life,215,Writers
54,born,204,Writers
55,de,202,Writers
56,new,199,Writers
57,women,196,Writers
58,film,191,Writers
59,references,188,Writers
60,works,187,Writers
61,writer,182,Writers
62,books,180,Writers
63,international,170,Writers
64,novel,170,Writers
65,school,168,Writers
66,world,161,Writers
67,years,161,Writers
68,award,154,Writers
69,wrote,154,Writers
70,al,151,Writers
71,literature,144,Writers
72,prize,141,Writers
73,english,140,Writers
74,isbn,139,Writers
75,national,137,Writers
76,work,132,Writers
77,literary,126,Writers
78,author,123,Writers
79,later,122,Writers
80,career,121,Writers
81,member,121,Writers
82,gbowee,117,Writers
83,time,117,Writers
84,year,115,Writers
85,children,113,Writers
86,peace,112,Writers
87,war,112,Writers
88,early,111,Writers
89,worked,111,Writers
90,political,110,Writers
91,writing,110,Writers
92,london,109,Writers
93,series,107,Writers
94,family,106,Writers
95,language,105,Writers
96,history,103,Writers
97,college,99,Writers
98,2011,97,Writers
99,education,97,Writers
